decision_step,time,action,phase_id,state_north_bucket,state_east_bucket,state_south_bucket,state_west_bucket,reward,total_waiting,vehicle_count,avg_travel_time
0,5.0,0,1,0,0,0,0,-0.1,0.0,1,4.0
1,10.0,0,1,0,0,0,0,-0.1,0.0,1,9.0
2,15.0,0,1,0,0,0,0,-0.1,0.0,1,14.0
3,20.0,0,1,0,0,0,0,-0.2,0.0,2,11.5
4,25.0,0,1,0,0,0,0,-0.30000000000000004,0.0,3,9.25
5,30.0,0,1,0,0,0,0,-0.6000000000000001,0.0,6,10.166666666666666
6,35.0,0,1,0,0,1,0,-2.0,1.0,10,9.9
7,40.0,7,8,0,0,0,0,-1.1,0.0,11,13.727272727272727
8,45.0,0,1,0,0,0,0,-1.4000000000000001,0.0,14,15.285714285714286
9,50.0,0,1,0,0,0,0,-1.6,0.0,16,18.1875
10,55.0,0,1,0,0,0,0,-1.7000000000000002,0.0,17,22.058823529411764
11,60.0,0,1,0,0,0,0,-2.0,0.0,20,23.6
12,65.0,0,1,0,1,0,0,-3.5,1.0,25,23.32
13,70.0,1,2,0,0,0,0,-2.8000000000000003,0.0,28,24.724137931034484
14,75.0,0,1,1,1,0,0,-4.800000000000001,2.0,28,28.633333333333333
15,80.0,1,2,1,0,0,0,-3.7,1.0,27,33.233333333333334
16,85.0,4,5,0,0,0,0,-2.8000000000000003,0.0,28,34.45454545454545
17,90.0,0,1,0,2,0,0,-5.6,3.0,26,38.42424242424242
18,95.0,1,2,1,2,0,1,-9.4,7.0,24,42.06060606060606
19,100.0,6,7,2,0,0,1,-7.300000000000001,5.0,23,43.08571428571429
20,105.0,4,5,0,1,0,1,-6.2,4.0,22,46.25714285714286
21,110.0,6,7,0,0,0,1,-4.2,2.0,22,46.7027027027027
22,115.0,0,1,0,1,0,1,-5.2,3.0,22,45.925
23,120.0,6,7,0,0,0,1,-4.5,2.0,25,46.54761904761905
24,125.0,0,1,0,0,0,0,-2.8000000000000003,0.0,28,43.583333333333336
25,130.0,0,1,0,1,0,0,-3.6,1.0,26,44.58
26,135.0,1,2,0,0,0,0,-2.5,0.0,25,46.21568627450981
