decision_step,time,action,phase_id,state_north_bucket,state_east_bucket,state_south_bucket,state_west_bucket,reward,total_waiting,vehicle_count,avg_travel_time
0,5.0,5,6,0,0,0,0,-0.0,0.0,0,0.0
1,10.0,5,6,0,0,0,0,-0.1,0.0,1,3.0
2,15.0,5,6,0,0,0,0,-0.30000000000000004,0.0,3,4.666666666666667
3,20.0,5,6,0,0,0,0,-0.5,0.0,5,7.0
4,25.0,5,6,0,0,0,0,-0.8,0.0,8,7.4
5,30.0,5,6,0,0,0,0,-1.3,0.0,13,9.923076923076923
6,35.0,5,6,0,0,0,0,-1.5,0.0,15,13.4
7,40.0,5,6,0,0,0,0,-1.7000000000000002,0.0,17,16.647058823529413
8,45.0,5,6,1,0,0,0,-2.9000000000000004,1.0,19,18.85
9,50.0,4,5,0,0,0,0,-2.2,0.0,22,20.041666666666668
10,55.0,5,6,1,0,0,0,-4.4,2.0,24,21.892857142857142
11,60.0,4,5,1,1,0,0,-4.7,2.0,27,25.366666666666667
12,65.0,6,7,1,0,0,1,-6.0,3.0,30,27.818181818181817
13,70.0,7,8,2,1,0,1,-9.2,6.0,32,30.942857142857143
14,75.0,6,7,2,0,0,1,-8.4,5.0,34,33.78378378378378
15,80.0,5,6,2,2,0,0,-9.5,6.0,35,35.6
16,85.0,2,3,2,3,0,1,-16.9,13.0,39,33.479166666666664
17,90.0,7,8,2,4,0,1,-18.9,15.0,39,35.450980392156865
18,95.0,6,7,2,3,0,2,-16.2,12.0,42,38.0
19,100.0,6,7,2,2,0,2,-15.600000000000001,11.0,46,38.53448275862069
20,105.0,6,7,2,1,1,2,-14.9,10.0,49,39.34920634920635
21,110.0,6,7,2,0,2,2,-16.3,11.0,53,40.294117647058826
22,115.0,0,1,0,1,3,2,-18.7,13.0,57,41.916666666666664
23,120.0,6,7,1,1,3,2,-21.9,16.0,59,43.6578947368421
24,125.0,5,6,2,2,3,2,-24.7,19.0,57,46.96103896103896
25,130.0,5,6,3,3,3,1,-28.9,23.0,59,47.71951219512195
26,135.0,4,5,2,4,3,2,-35.2,29.0,62,46.98888888888889
27,140.0,0,1,2,4,4,0,-34.4,28.0,64,48.1578947368421
28,145.0,6,7,2,3,4,1,-33.6,27.0,66,47.58653846153846
29,150.0,4,5,0,3,4,1,-34.9,28.0,69,48.972477064220186
30,155.0,7,8,1,3,3,1,-36.1,29.0,71,51.25892857142857
31,160.0,5,6,3,3,3,0,-41.3,34.0,73,53.8859649122807
32,165.0,2,3,3,3,3,0,-45.4,38.0,74,56.474137931034484
33,170.0,2,3,3,4,3,0,-50.3,43.0,73,59.8448275862069
34,175.0,0,1,1,4,4,0,-52.4,45.0,74,62.598290598290596
35,180.0,3,4,1,3,3,0,-56.3,49.0,73,65.19491525423729
36,185.0,7,8,2,3,3,0,-57.4,50.0,74,66.04918032786885
37,190.0,4,5,1,3,3,0,-55.4,48.0,74,66.97619047619048
38,195.0,7,8,2,3,3,0,-52.6,45.0,76,69.4251968503937
39,200.0,4,5,0,3,3,0,-52.0,44.0,80,69.81060606060606
40,205.0,6,7,1,3,3,0,-51.2,43.0,82,70.2992700729927
41,210.0,7,8,2,3,3,0,-48.6,40.0,86,69.89583333333333
42,215.0,4,5,1,3,3,2,-49.6,41.0,86,72.38620689655173
43,220.0,0,1,0,3,3,1,-51.7,43.0,87,74.3265306122449
44,225.0,5,6,1,3,3,0,-54.6,46.0,86,76.22818791946308
45,230.0,7,8,2,3,3,2,-62.8,54.0,88,78.09271523178808
46,235.0,1,2,3,3,3,3,-61.8,53.0,88,80.48026315789474
47,240.0,1,2,3,4,3,3,-62.6,54.0,86,83.32894736842105
48,245.0,6,7,3,3,3,3,-56.6,48.0,86,85.60130718954248
49,250.0,1,2,3,3,3,3,-48.5,40.0,85,86.12738853503184
50,255.0,1,2,3,3,1,3,-42.6,34.0,86,86.66459627329192
51,260.0,0,1,2,3,2,3,-35.5,27.0,85,89.3167701863354
52,265.0,5,6,2,3,3,2,-33.2,25.0,82,90.76073619631902
53,270.0,1,2,2,3,3,1,-30.9,23.0,79,93.21472392638037
54,275.0,6,7,2,3,3,3,-32.7,25.0,77,94.43030303030304
55,280.0,0,1,1,2,3,2,-32.5,25.0,75,95.01190476190476
56,285.0,2,3,1,3,4,2,-38.8,31.0,78,93.42285714285714
57,290.0,6,7,2,3,4,3,-42.1,34.0,81,93.08888888888889
58,295.0,4,5,1,3,4,3,-44.2,36.0,82,93.31521739130434
59,300.0,1,2,1,3,4,3,-42.5,34.0,85,93.0952380952381
60,305.0,1,2,2,3,4,3,-43.8,35.0,88,92.49230769230769
61,310.0,4,5,1,3,4,3,-42.2,33.0,92,90.68627450980392
62,315.0,1,2,2,3,4,3,-44.6,35.0,96,91.26923076923077
63,320.0,4,5,2,3,4,3,-50.9,41.0,99,91.46478873239437
64,325.0,4,5,2,3,4,3,-56.1,46.0,101,91.31963470319634
65,330.0,4,5,1,3,4,3,-60.2,50.0,102,91.27555555555556
66,335.0,1,2,1,3,4,3,-59.1,49.0,101,92.0524017467249
67,340.0,1,2,2,4,4,3,-62.3,52.0,103,93.99130434782609
68,345.0,3,4,3,3,4,3,-61.1,51.0,101,96.28260869565217
69,350.0,0,1,2,3,4,2,-56.3,46.0,103,97.71120689655173
70,355.0,5,6,2,4,4,1,-61.6,51.0,106,98.71489361702127
71,360.0,4,5,1,4,4,1,-67.5,57.0,105,100.52542372881356
72,365.0,0,1,0,4,4,1,-66.3,56.0,103,102.27848101265823
73,370.0,7,8,1,4,4,1,-65.1,55.0,101,103.12916666666666
74,375.0,0,1,0,4,4,1,-68.2,58.0,102,101.89112903225806
75,380.0,7,8,2,4,4,2,-71.2,61.0,102,100.81640625
76,385.0,4,5,0,4,4,3,-76.4,66.0,104,101.7992277992278
77,390.0,5,6,1,4,4,1,-77.6,67.0,106,102.00378787878788
78,395.0,0,1,0,4,4,1,-74.4,64.0,104,104.10984848484848
79,400.0,7,8,1,4,3,1,-71.2,61.0,102,105.00749063670412
80,405.0,6,7,2,3,3,2,-71.9,62.0,99,107.04868913857678
81,410.0,1,2,3,4,3,3,-69.7,60.0,97,108.65671641791045
82,415.0,6,7,3,3,3,3,-67.8,58.0,98,108.28467153284672
83,420.0,1,2,3,3,3,3,-60.9,51.0,99,107.98214285714286
84,425.0,1,2,3,4,3,3,-53.6,44.0,96,109.59786476868328
85,430.0,6,7,3,3,3,3,-47.6,38.0,96,109.66433566433567
86,435.0,1,2,3,3,2,3,-39.5,30.0,95,110.11379310344827
87,440.0,7,8,3,3,2,3,-38.1,29.0,91,110.90784982935153
88,445.0,7,8,3,3,0,3,-33.9,25.0,89,111.31649831649831
89,450.0,1,2,4,3,0,3,-34.0,25.0,90,109.91176470588235
90,455.0,0,1,3,3,1,3,-34.2,25.0,92,110.04180064308682
91,460.0,0,1,3,4,3,3,-39.4,30.0,94,109.83280757097792
