decision_step,time,action,phase_id,state_north_bucket,state_east_bucket,state_south_bucket,state_west_bucket,reward,total_waiting,vehicle_count,avg_travel_time
0,5.0,5,6,0,0,0,0,-0.0,0.0,0,0.0
1,10.0,5,6,0,0,0,0,-0.0,0.0,1,3.0
2,15.0,5,6,0,0,0,0,-0.0,0.0,3,4.666666666666667
3,20.0,5,6,0,0,0,0,-0.0,0.0,5,7.0
4,25.0,5,6,0,0,0,0,-0.0,0.0,8,7.4
5,30.0,5,6,0,0,0,0,-0.0,0.0,13,9.923076923076923
6,35.0,5,6,0,0,0,0,-0.0,0.0,15,13.4
7,40.0,5,6,0,0,0,0,-0.0,0.0,17,16.647058823529413
8,45.0,5,6,1,0,0,0,-1.0,1.0,19,18.85
9,50.0,3,4,2,0,0,0,-3.0,3.0,22,20.041666666666668
10,55.0,2,3,2,0,0,1,-7.0,7.0,24,21.892857142857142
11,60.0,5,6,3,1,0,0,-9.0,9.0,27,25.366666666666667
12,65.0,3,4,3,1,0,1,-11.0,11.0,30,27.818181818181817
13,70.0,6,7,3,0,0,2,-11.0,11.0,32,30.942857142857143
14,75.0,3,4,3,1,0,2,-13.0,13.0,34,33.78378378378378
15,80.0,0,1,2,3,0,0,-10.0,10.0,38,35.8
16,85.0,3,4,2,3,0,1,-11.0,11.0,44,34.0625
17,90.0,1,2,3,3,0,1,-14.0,14.0,45,36.568627450980394
18,95.0,1,2,3,3,0,2,-15.0,15.0,49,39.698113207547166
19,100.0,0,1,1,3,0,1,-10.0,10.0,51,40.56896551724138
20,105.0,5,6,2,3,1,0,-12.0,12.0,56,41.73015873015873
21,110.0,7,8,2,3,0,0,-14.0,14.0,57,42.85294117647059
22,115.0,3,4,2,3,2,1,-22.0,22.0,60,44.56944444444444
23,120.0,7,8,2,3,1,2,-22.0,22.0,60,46.276315789473685
24,125.0,4,5,2,3,1,2,-24.0,24.0,60,49.714285714285715
25,130.0,4,5,2,4,2,2,-28.0,28.0,62,50.51219512195122
26,135.0,7,8,2,4,0,2,-27.0,27.0,64,49.644444444444446
27,140.0,7,8,3,4,0,2,-31.0,31.0,67,50.83157894736842
28,145.0,5,6,3,4,1,1,-33.0,33.0,69,50.15384615384615
29,150.0,1,2,3,4,1,1,-31.0,31.0,71,51.522935779816514
30,155.0,1,2,4,4,0,2,-31.0,31.0,73,53.848214285714285
31,160.0,3,4,4,3,1,2,-32.0,32.0,74,56.50877192982456
32,165.0,7,8,4,3,1,2,-37.0,37.0,75,59.0948275862069
33,170.0,7,8,4,4,1,2,-38.0,38.0,76,62.56896551724138
