decision_step,time,action,phase_id,state_north_count,state_east_count,state_south_count,state_west_count,state_phase,reward,total_waiting,vehicle_count,avg_travel_time
0,5.0,0,1,0,0,0,0,0,-0.0,0.0,0,0.0
1,10.0,0,1,0,0,0,0,0,0.0,0.0,1,3.0
2,15.0,0,1,0,0,0,0,0,0.0,0.0,3,4.666666666666667
3,20.0,0,1,0,0,0,0,0,0.0,0.0,5,7.0
4,25.0,0,1,0,0,0,0,0,0.0,0.0,8,7.4
5,30.0,0,1,0,0,0,0,0,0.0,0.0,13,9.923076923076923
6,35.0,0,1,0,0,0,0,0,0.0,0.0,15,13.4
7,40.0,0,1,0,0,0,0,0,0.0,0.0,17,16.647058823529413
8,45.0,0,1,0,0,0,0,0,0.0,0.0,19,18.85
9,50.0,0,1,0,0,0,0,0,0.0,0.0,22,20.041666666666668
10,55.0,0,1,0,0,0,0,0,0.0,0.0,24,21.892857142857142
11,60.0,0,1,1,1,0,0,0,-2.0,2.0,27,25.366666666666667
12,65.0,4,5,0,1,0,0,4,1.0,1.0,30,27.818181818181817
13,70.0,6,7,0,0,0,0,6,1.0,0.0,31,30.82857142857143
14,75.0,5,6,0,2,0,0,5,-2.0,2.0,32,33.45945945945946
15,80.0,6,7,0,1,0,0,6,1.0,1.0,33,35.0
16,85.0,3,4,0,2,0,0,3,-1.0,2.0,36,32.645833333333336
17,90.0,6,7,0,1,0,0,6,1.0,1.0,36,34.411764705882355
18,95.0,3,4,0,2,0,2,3,-3.0,4.0,39,36.716981132075475
19,100.0,6,7,0,3,0,3,6,-2.0,6.0,41,36.98275862068966
20,105.0,1,2,0,1,0,3,1,2.0,4.0,45,37.58730158730159
21,110.0,6,7,0,0,1,4,6,-1.0,5.0,46,38.23529411764706
22,115.0,7,8,1,2,0,5,7,-3.0,8.0,49,39.44444444444444
23,120.0,0,1,0,5,2,3,0,-2.0,10.0,49,40.69736842105263
24,125.0,4,5,0,8,3,3,4,-4.0,14.0,51,43.58441558441559
25,130.0,1,2,1,7,0,6,1,0.0,14.0,54,44.24390243902439
26,135.0,0,1,1,8,3,3,0,-1.0,15.0,56,43.5
27,140.0,4,5,0,10,4,4,4,-3.0,18.0,58,44.536842105263155
28,145.0,7,8,2,10,1,5,7,-2.0,20.0,60,43.98076923076923
29,150.0,0,1,0,10,2,1,0,3.0,17.0,61,45.19266055045872
30,155.0,4,5,0,10,6,3,4,-8.0,25.0,63,47.223214285714285
31,160.0,1,2,1,10,4,3,1,2.0,23.0,64,49.55263157894737
32,165.0,1,2,3,10,3,3,1,0.0,23.0,65,51.83620689655172
33,170.0,1,2,3,10,2,3,1,3.0,20.0,65,54.827586206896555
34,175.0,6,7,3,9,3,3,6,2.0,18.0,65,57.24786324786325
35,180.0,1,2,3,7,4,3,1,1.0,17.0,64,59.52542372881356
36,185.0,7,8,3,8,0,3,7,3.0,14.0,67,60.25409836065574
37,190.0,2,3,2,8,2,2,2,0.0,14.0,66,61.06349206349206
38,195.0,1,2,2,4,3,2,1,3.0,11.0,65,63.16535433070866
39,200.0,0,1,0,6,4,0,0,1.0,10.0,64,63.24242424242424
40,205.0,1,2,1,7,5,1,1,-4.0,14.0,64,63.35036496350365
41,210.0,1,2,2,6,4,1,1,1.0,13.0,68,62.666666666666664
42,215.0,1,2,3,3,2,5,1,0.0,13.0,67,64.56551724137931
43,220.0,0,1,0,4,3,5,0,1.0,12.0,67,65.91836734693878
44,225.0,2,3,1,6,7,3,2,-5.0,17.0,64,67.21476510067114
45,230.0,1,2,4,5,4,7,1,-3.0,20.0,65,68.45033112582782
46,235.0,7,8,6,6,0,10,7,-2.0,22.0,64,70.125
47,240.0,0,1,3,10,1,8,0,-3.0,25.0,60,72.125
48,245.0,0,1,0,10,3,5,0,2.0,23.0,57,73.5359477124183
49,250.0,1,2,2,10,0,4,1,3.0,20.0,56,73.47770700636943
50,255.0,2,3,3,10,2,5,2,-7.0,27.0,60,73.5031055900621
51,260.0,0,1,0,10,2,3,0,4.0,23.0,56,75.27950310559007
52,265.0,1,2,1,10,0,2,1,6.0,17.0,54,76.02453987730061
53,270.0,1,2,1,10,0,6,1,0.0,17.0,52,77.65030674846626
54,275.0,0,1,0,10,0,4,0,2.0,15.0,50,78.24242424242425
55,280.0,1,2,0,9,0,4,1,2.0,13.0,51,78.36309523809524
56,285.0,0,1,1,8,3,4,0,-3.0,16.0,55,76.76571428571428
57,290.0,4,5,0,10,3,3,4,-2.0,18.0,57,76.21111111111111
58,295.0,1,2,0,10,1,6,1,-1.0,19.0,58,76.15760869565217
59,300.0,0,1,0,10,1,2,0,2.0,17.0,60,75.72486772486772
60,305.0,5,6,0,10,1,4,5,-5.0,22.0,63,75.02051282051282
61,310.0,0,1,0,10,4,0,0,-2.0,24.0,68,73.3921568627451
62,315.0,1,2,1,10,4,3,1,-1.0,25.0,71,73.71634615384616
63,320.0,1,2,3,10,2,4,1,0.0,25.0,75,73.74647887323944
64,325.0,0,1,3,10,4,1,0,1.0,24.0,77,73.53881278538813
65,330.0,2,3,3,10,8,3,2,-8.0,32.0,79,73.44444444444444
66,335.0,0,1,1,10,10,0,0,-2.0,34.0,82,74.06113537117903
67,340.0,7,8,2,10,9,1,7,-3.0,37.0,83,75.59565217391304
68,345.0,1,2,6,10,8,1,1,-1.0,38.0,82,77.40869565217392
